본문,시간,년,월,일,시,d
오늘 저녁 겸 맥주안주는~ 조미료 팍팍넣은 떡볶이와 비비고왕교자❤ 가끔 조미료 넣은 음식이 먹고 싶을때가 있어서 ㅎㅎ  다시다로 육수내고 ㅋㅋㅋ 후추로 매운맛 업업!! 희안하게도 파는 매운떡볶이 체인점 맛이 난다 띠용😱 오랜만에 군만두에 국물떡볶이 곁들이니 넘나 맛있네용^^ 모두 맛저하는 저녁 되시와요 히힛♥♥...,2019-06-03T10:54:02.000Z,2019,06,03,10,0
-,2019-01-12T12:16:09.000Z,2019,01,12,12,0
주말 마무리는 에어프라이어로 만든 비비고만두와 비빔메밀감자면 🤟🏿,2019-01-27T10:28:26.000Z,2019,01,27,10,0
,2019-01-08T11:07:50.000Z,2019,01,08,11,0
만두를 시켰다. 잘못온줄 알았다. 노안이 왔나 잘못시켰다. 연아가 욕을했을뻔했지만 잘 참았다. 얼마나 고마웠으면 만두스펀지까지 서비스로 줬다. 괜찮다. 유통기한은 넉넉하니,2019-01-17T05:04:49.000Z,2019,01,17,05,0
,2019-06-19T16:44:53.000Z,2019,06,19,16,0
진짜완전 너무너무 맛있는만두계속먹게되는 마성의 만두 구입은 @shop_jsis,2019-03-09T01:51:45.000Z,2019,03,09,01,1
엽떡은 남편이 못먹어서 회사분들이랑 밖에 못먹는다... 3주를 기다린 엽떡 으하❤️ 행복.. 감탄 ,2019-06-20T13:15:03.000Z,2019,06,20,13,0
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,2019-01-01T12:17:24.000Z,2019,01,01,12,0
일요일엔 간식👍내가 만든 비빔국수비비고 찐만두시간이 허락하는한 요리하려고 노력중🤗ㆍㆍㆍ,2019-01-21T03:39:21.000Z,2019,01,21,03,1
,2019-04-13T13:43:35.000Z,2019,04,13,13,0
아지매들 밥상 오랜만이쥬 ?  ,2019-04-04T04:09:35.000Z,2019,04,04,04,1
맞아 그릇 쓰고 싶어서 만두구웟어🤝🤝 ,2018-06-16T15:17:52.000Z,2018,06,16,15,0
아니 나는 그냥. . .여보는 백만년만에 사람들 만나러 나가고시안이는 자서 그냥. . 맛만 볼려구 하는데ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ --,2019-03-09T12:25:54.000Z,2019,03,09,12,0
오늘 저녁메뉴는비비고 만두탕수육맛있음ㅎ완전,2018-12-26T09:40:39.000Z,2018,12,26,09,0
주말은 누나네집에서 냉장고털이..,2019-02-17T12:31:24.000Z,2019,02,17,12,0
성에 안차....🤢,2019-05-02T14:26:46.000Z,2019,05,02,14,0
만두는 역시 ,2019-05-01T10:07:16.000Z,2019,05,01,10,0
아침은 매형이 보내주신,2018-12-23T03:22:20.000Z,2018,12,23,03,1
비비고,2019-06-13T13:30:48.000Z,2019,06,13,13,0
,2019-01-16T05:30:02.000Z,2019,01,16,05,0
,2019-03-01T13:33:50.000Z,2019,03,01,13,0
,2019-04-13T13:13:16.000Z,2019,04,13,13,0
,2019-02-09T09:54:41.000Z,2019,02,09,09,0
마싯다걸왕달걀4개쪘지렁우리집에 달걀귀신을 위해🍳🥚여유로운 주말이제 뱅기날리러 가야함🛩---,2019-06-02T04:10:46.000Z,2019,06,02,04,1
오늘의 늦점🥘🥟,2019-01-19T06:15:41.000Z,2019,01,19,06,0
,2019-06-18T00:39:22.000Z,2019,06,18,00,1
🍲일마치고 먹는 야식에는 라면이지요ㅡ지금 나는 간헐적단식중인데ㅡ맥주가 빠졌군,2019-02-13T04:10:49.000Z,2019,02,13,04,1
주말에 내가 침대지박령이 되니울신랑이 해준 비빔만두🥟🍝,2019-05-13T02:04:14.000Z,2019,05,13,02,1
,2019-02-15T01:22:27.000Z,2019,02,15,01,1
,2019-05-12T03:01:43.000Z,2019,05,12,03,1
진짜다이어트중이라,2019-03-13T12:47:59.000Z,2019,03,13,12,0
,2019-04-12T16:21:45.000Z,2019,04,12,16,0
저녁은 간단히..종일먹고 먹고운동은.. 식욕떨어질까봐 하는거?? ,2019-04-11T09:29:49.000Z,2019,04,11,09,0
,2019-02-09T14:20:26.000Z,2019,02,09,14,0
,2019-05-18T16:39:33.000Z,2019,05,18,16,0
에어프라이고 나발이고  기름에 튀겨라,2019-01-26T10:45:19.000Z,2019,01,26,10,0
호기심에 비비고 왕교자 러버지만 비비고 한섬만두 비쥬얼에 혹해한번 쪄봤는데 역시 비쥬얼은 어마 무시 하다.내용물도 꽉 차고 맛있긴 한데근데도 난 여전히 왕교자 러버😍그냥 왕교자로 튀겨먹고 쪄먹고 그게 최고 👍🏻 그나저나 오늘도 야식을 못 벗어나네-히힛! 새해구나 ~에헤라디아🎊🎉🧧🧧🧧,2018-12-31T15:03:09.000Z,2018,12,31,15,0
오늘 점심은 짜장면👌,2019-01-18T19:16:58.000Z,2019,01,18,19,1
,2019-02-13T12:02:31.000Z,2019,02,13,12,0
..집도착하니아무도없다😰,2019-06-05T13:44:10.000Z,2019,06,05,13,0
_어제 외할머니 생신이셔서 온가족 다같이장어구이 먹으러 갔는데 맛은 괜찮았는데...오픈한지 얼마 안된집인지라서비스도 엉망이고 음식도 제대로 안나오고옻오리 미리 예약주문 해뒀는데그냥 백숙으로 주문들어가이있어서결국 옻오리랑 옻닭은 한~~~참 기다려야하고먹는데 정신도 없고 ㅠㅠ먹는둥 마는둥 하고 집에왔더니신랑은 술먹고 먼저 잠들어 버리고새벽에 갑자기 수육이 너무 먹고 싶어서신랑한테 수육 먹고 싶다고 깨웠더니 ㅋㅋㅋㅋ비몽사몽에 시키라고 ㅋㅋㅋㅋ새벽2신데 🤣🤣.시켜라면 또 재빨리 시켜야지! 싶어배민을 딱 켜고 주문 했는데 바로 재고부족으로 취소ㅠㅠㅠㅠㅠ.결국 아침에 주사맞으러 산부인과 갔다가바로 집근처 국밥집에서 수백 한그릇!여기 이집은 항정살로 돼지국밥 하고 수육 나오는 집!나의 최애 돼지고기 항정살로 나와서너무 너무 좋음 ㅋㅋㅋㅋㅋ우리동네 처음 오는 분들 모시고 가면 무조건 만족!.집에와서 한숨 자다가 일어나서 또 만두먹기 ㅋㅋㅋ얼마전 씨제이에서 이벤트해서 잔뜩 쟁여놓은비비고왕교자랑 비비고수교자우리둘은 만두킬러들 😎😎😎😎주말은 먹는날 ㅋㅋㅋㅋㅋㅋㅋ......,2019-01-20T05:30:38.000Z,2019,01,20,05,0
집에 먹을거 없을때 요거 하나면 만구 땡이지 ,2019-06-15T05:11:13.000Z,2019,06,15,05,0
담주 수욜 개학 ,2019-01-22T09:15:23.000Z,2019,01,22,09,0
,2018-12-23T12:30:19.000Z,2018,12,23,12,0
,2019-01-06T09:38:50.000Z,2019,01,06,09,0
내껌딱지 컴백홈🏠💑.다시 야식의밤이 시작되었다.다이어트 안뇽~🍻.다음생에 날씬해지자.,2019-04-17T14:06:00.000Z,2019,04,17,14,0
,2019-01-31T18:02:57.000Z,2019,01,31,18,1
오늘같은날은 ,2019-06-14T10:43:27.000Z,2019,06,14,10,0
,2018-12-18T10:07:57.000Z,2018,12,18,10,0
"..[bibigo Video] bibigo Mandu CF Making Film(""비비고 한섬만두 만두를 높이다"" CF 메이킹 필름 feat.박서준)",2019-01-18T09:07:43.000Z,2019,01,18,09,0
,2019-06-11T10:50:43.000Z,2019,06,11,10,0
"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀같이퇴근하면서 오늘은 뭐먹지 🤔육류,해산물을 사다리타기했지만결국 내가 먹고싶은 엽떡으루 🌶만두랑 소시지는 내가 맛깔나게 구워내찌 🥡 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2019-01-10T13:00:58.000Z,2019,01,10,13,0
,2018-12-21T10:08:14.000Z,2018,12,21,10,0
군만두에 맥주 캬 —— 🥟🍺...,2019-04-16T13:28:10.000Z,2019,04,16,13,0
육퇴후 만두랑 맥주한잔ㅋ,2019-02-20T13:55:56.000Z,2019,02,20,13,0
,2019-05-07T12:04:24.000Z,2019,05,07,12,0
오늘은 매콤한 비빔소스로 ,2019-05-24T05:05:02.000Z,2019,05,24,05,0
,2019-01-17T10:09:31.000Z,2019,01,17,10,0
어제 만두 다 못먹고 자서 아쉽다는 아들.오늘 아침은 간단하게 비비고 만두국으로! ㅋ..,2019-05-29T22:40:53.000Z,2019,05,29,22,1
주말 브런치 ,2019-06-15T04:34:16.000Z,2019,06,15,04,1
"2019.06.13.-<비비고와 함께하는 피크닉>🍴🧺-오늘은 특별히 비비고 제품을 피크닉 요리로 준비해 글로벌 친구들과 함께 초여름 피크닉을 다녀왔습니다.-더운 날씨였지만, 짧은 시간 동안 다들 맛있고 즐거운 피크닉 시간을 보냈습니다.-고메 치즈함박스테이크, 비비고 떡갈비, 비비고 얼큰칼국수, 비비고 김치, 비비고칩까지 다양한 메뉴들을 팀원들이 각자 준비해왔습니다.-원래는 공유키친을 대여해서 같이 요리를 하면서 시간을 더 오래 보내려고 했지만, 다들 학교 시험, 직장 때문에 시간적인 여유가 부족해서 각자 요리를 준비해왔습니다.-저는 비비고 떡갈비를 준비했습니다.단순히 제품을 조리한게 아니라,계란물을 입히고 표고버섯을 손질해서 같이 부쳤는데 팀원들의 반응이 좋았습니다:)-나이, 국적, 학교 모든 것이 다르지만 한식과 비비고라는 매개체를 통해 서로가 더 가까워질 수 있는 뜻깊은 시간이었습니다.-팀원들이 뽑은 최고의 비비고 메뉴는 2가지였습니다. <비비고칩>과 <비비고 떡갈비>였습니다.-앞으로도 비비고 프렌즈 활동 많이 기대해주세요!!!😆✨",2019-06-13T14:03:25.000Z,2019,06,13,14,0
비쥬얼은꽝 맛은 👍,2019-06-17T04:59:24.000Z,2019,06,17,04,1
,2019-01-10T15:09:59.000Z,2019,01,10,15,0
저녁 먹고 편의점 가서,2019-04-17T12:32:34.000Z,2019,04,17,12,0
"오늘 점심은 유부주머니,만두 두알 넣고보글보글 라면열공후 라면은 꿀맛",2019-06-12T04:26:07.000Z,2019,06,12,04,1
19.4.11,2019-04-11T15:59:55.000Z,2019,04,11,15,0
.10분만에 완성😉...,2019-06-03T03:37:48.000Z,2019,06,03,03,1
초간단 떡국....!.....,2019-05-17T01:04:47.000Z,2019,05,17,01,1
늦은 저녁이라 가볍게 비빔면! .......,2019-02-07T14:19:24.000Z,2019,02,07,14,0
,2019-03-09T06:56:27.000Z,2019,03,09,06,0
,2019-02-27T08:48:36.000Z,2019,02,27,08,0
🔹️,2019-02-13T08:52:17.000Z,2019,02,13,08,0
,2019-04-13T10:47:09.000Z,2019,04,13,10,0
"🔘[bibigo Video] bibigo Mandu CF Making Film(""비비고 한섬만두 만두를 높이다"" CF 메이킹 필름 feat.박서준)",2019-01-18T07:39:24.000Z,2019,01,18,07,0
맛있는 ,2019-05-21T04:55:23.000Z,2019,05,21,04,1
오랜만에,2019-06-18T13:37:00.000Z,2019,06,18,13,0
오늘 저녁은 요플레에 씨리얼을 말아먹기로..는 개뿔....,2019-06-12T11:38:23.000Z,2019,06,12,11,0
"What better way to start the weekend than with a picnic? 🧺 Amazing view☑️Nice weather ☑️Yummy food ☑️Happy people☑️Cute Animals ☑️소풍 갔다 왔어요. 너무 시원했어요 🏞 😃🌤🍱🐶 ———————𝕄𝕖𝕟𝕦—————————𝐁𝐢𝐛𝐢𝐠𝐨 𝐎𝐧𝐞 𝐁𝐢𝐭𝐞 𝐑𝐢𝐛 𝐏𝐚𝐭𝐭𝐢𝐞𝐬 🍖I wanted to have a meat dish. That was filling, but not heavy. These are the perfect size for a picnic.비비고 한입떡갈비🍖고기 요리를 먹고 싶었어요내용물이 가득했지만 무겁지는 않았어요소풍을 위한 완벽한 싸이즈에요﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋𝐁𝐢𝐛𝐢𝐠𝐨 𝐁𝐢𝐠 𝐌𝐚𝐧𝐝𝐮 🥟I’ve never met a person who didn’t enjoy these flavorful dumplings. So of course they were added to the menu. 비비고 군만두 🥟이런 맛있는 만두를 즐기지 않는 사람을 만난적이 없다. 그래서 당연히 메뉴에 추가되었다﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋𝐁𝐢𝐛𝐢𝐠𝐨 𝐊𝐢𝐦𝐜𝐡𝐢 🥬You can’t have a meal in Korea without kimchi, and our picnic was no exception. I always have to eat some to aid in digestion. 비비고 김치🥬한국에선 김치없이 밥을 먹을수 없어요. 우리의 소풍도 예외는 아니였어요. 소화가 잘되기 위해 김치를 먹어야 해요﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋𝐁𝐢𝐛𝐢𝐠𝐨 𝐒𝐞𝐚𝐰𝐞𝐞𝐝 🍙Instead of kimbap I opted for just rice with seaweed since there were already so many foods. 비비고 김🍙거기엔 벌써 너무 많은 음식들이 있어서 김밥대신 그냥 밥과 김을 골랐어요 —————————————————————••••",2019-06-16T07:41:39.000Z,2019,06,16,07,0
뭘먹을까 한참 고민한 끝에비비고 만두로 결정ㅋㅋㅋ,2019-01-15T12:56:18.000Z,2019,01,15,12,0
1.22~23 ,2019-01-28T07:18:56.000Z,2019,01,28,07,0
.온라인 편의점 나우픽24시간 운영하고 주문즉시 평균 30분 안에 배송해줘서 집밖에 나갈필요없가없다 🤩🤩이케아랑 코스트코 제품도 있어서 이거저거 매일 사는중 😄😄..,2019-05-09T22:38:36.000Z,2019,05,09,22,1
,2018-12-27T09:55:47.000Z,2018,12,27,09,0
:머리하러 갔다가 🎵술만먹고 왔지요🎶~~😂왜 갈때마다 쉬냐고!!!벌써 두번이나 자를타임 놓쳐 단발머리가 되어가네🤦🏻‍♀️---,2019-02-12T23:10:53.000Z,2019,02,12,23,1
점심,2019-01-26T04:40:31.000Z,2019,01,26,04,1
첫줄은생략우리집 피시방놀이ㅋㅋ컨디션 안좋을땐게임하면서 맥주나한잔재밋군ㅎㅎ,2019-05-04T02:26:58.000Z,2019,05,04,02,1
오늘 ,2018-12-12T13:46:45.000Z,2018,12,12,13,0
오늘 점심은 ,2019-02-26T02:59:03.000Z,2019,02,26,02,1
,2019-04-19T07:44:44.000Z,2019,04,19,07,0
ㅡ아침부터 만두 쪘으니 갠찬을꺼야ㅡ,2019-06-20T23:37:36.000Z,2019,06,20,23,1
김서방의 야식타임🥰 ,2018-12-14T15:52:43.000Z,2018,12,14,15,0
,2019-02-14T15:43:36.000Z,2019,02,14,15,0
,2019-03-22T09:08:21.000Z,2019,03,22,09,0
.이보다 저렴한 부업은 없죠!!.모든 부업에는 초기비용이 필요하지만내가 어떻게 투자하느냐에 따라 다르죠!!.절대로 그냥 버리는 돈이 아닌가치가 있는 소비현명하게 소비하며할 수 있는 부업.돈을 벌려고 시작했는데손해보면 안되잖아요!!.아무것도 모르는 분이라도재니🐇랑 함께하면대박날 수 있어요..혼자서 하는 부업 말고같이 잘 먹고 잘 사는 부업 해요!!.,2019-05-19T16:32:55.000Z,2019,05,19,16,0
:,2019-01-09T17:07:46.000Z,2019,01,09,17,0
"🏘🤗🏘🤗 ㅡㅡㅡ사진3장.오늘은 오서방 1인밥상이요..전 저녁대신 맥주 마셔요 ㅎㅎ🤣🤣.아침에 출근전,  사골한팩 꺼내놓고,(엄마 고마워요)고명 2가지  해놓고  갔더니 저녁에 너무널널한거 있죠^^;; 그래서! 바느질통을 꺼냈어요..안쓰는 천으로 재래시장 장볼때  에코백은 가지고 다니지만,흙묻은 야채들은 봉투 써야 되잖아요.그런 용도로 천 있으니 함 해봅니다 😃😃간만의 바느질 잼있어요 ㅎㅎ.맛있는 저녁 되세요^^♡♡.",2019-04-18T09:21:41.000Z,2019,04,18,09,0
라멘엔 soomax🍺,2019-02-28T07:22:17.000Z,2019,02,28,07,0
🍴밥상일기🍴주말 귀차니즘발동으로코스트코에서 사둔 풀무원평양물냉면에 직접만든 양념에 오이톡톡🍜비비고 한섬만두를 에어프라이기에 쏘옥🥟😋,2019-04-15T05:57:17.000Z,2019,04,15,05,0
2019.05.12,2019-05-13T03:15:17.000Z,2019,05,13,03,1
..,2019-04-10T17:18:00.000Z,2019,04,10,17,0
_일어나자마자 급 만두국뭘 넣었는지도 모르게 완전 급 ㅋㅋㅋ근데 맛있다잉 😆빠르긴해도 내가 이렇게나 빠를줄은😂,2019-01-31T22:30:05.000Z,2019,01,31,22,1
,2019-05-24T11:09:18.000Z,2019,05,24,11,0
저녁에 맛있는거 먹으러 나갈라고 그랬는데아들땜에 다 망함 😑갑자기 떡볶이 먹고싶다고 배고프다고 난리난리 😑배안고파 병에 걸린거 아는데...그짓말쟁이😑어묵스프 하나 남은거랑 생라면 먹고 모아둔 후레이크이용해서 대충 휘리릭 만들었는데 뭐........뭐지? 맛있다ㅋ에어프라이어에 담백하게 구운 만두 찍어먹은게 신의 한수👍ㅋㅋ,2019-01-20T06:31:57.000Z,2019,01,20,06,0
하은이가 저녁은 분식으로 먹자길래장량장에서 저녁준비끝~,2019-03-11T11:03:59.000Z,2019,03,11,11,0
,2019-03-21T08:22:21.000Z,2019,03,21,08,0
,2019-05-14T13:28:05.000Z,2019,05,14,13,0
🌸 꽃만두 수교자.앙증맞아요~~에프에 파삭하게 구우면 주머니는 촉촉 꽃주름은 바사삭..한 입에 쏙쏙 입안이 즐거워요~🎶..🍊@cj.kitchen.diary ,2019-05-17T11:22:40.000Z,2019,05,17,11,0
연휴맞이 다이어트 쉬어가기😆😆저거절대 다먹은거 아님!뭐먹을지 한참고민중..고칼로리 살찌는소리맛있으면0칼로리죠?,2019-02-02T16:10:25.000Z,2019,02,02,16,0
,2019-02-09T05:52:15.000Z,2019,02,09,05,0
떡만둣국을 끓이려고 떡을 꺼내보니 유통기한이 지남 ㅋㅋㅋ그냥 만두 넣고 한우안심넣고 만두국ㅋㅋㅋㅋ떡이 날짜가 두달이나 지났구나,2019-01-01T11:02:13.000Z,2019,01,01,11,0
"아,,든든하다 🤤",2019-05-02T08:12:34.000Z,2019,05,02,08,0
.,2019-01-12T14:31:12.000Z,2019,01,12,14,0
비빔면과 만두😆,2019-04-27T04:59:43.000Z,2019,04,27,04,1
💖안 맵게 생겨가지고고춧가루 좀 뿌렸더니 눈물나게 맵기 있음? 😱,2019-06-03T16:09:15.000Z,2019,06,03,16,0
🅷🅰🅿🅿🆈 🅽🅴🆆 🆈🅴🅰🆁새해 첫끼는 ,2019-01-01T09:18:52.000Z,2019,01,01,09,0
,2019-05-28T01:48:27.000Z,2019,05,28,01,1
,2019-01-30T04:00:20.000Z,2019,01,30,04,1
,2019-02-09T11:31:15.000Z,2019,02,09,11,0
,2019-06-13T11:05:55.000Z,2019,06,13,11,0
와 우리도 이제 인싸부부최강 인싸템 에어프라이어비비고 만두 군만두이제 ,2019-02-12T14:39:41.000Z,2019,02,12,14,0
에어프라이어로 만든 비비고 만두최고다ㅜㅜㅜ,2019-02-04T02:37:44.000Z,2019,02,04,02,1
오빠집에서점심해먹긔❤,2019-04-28T06:34:53.000Z,2019,04,28,06,0
,2019-05-08T15:17:32.000Z,2019,05,08,15,0
안녕하세요 ,2019-06-02T11:10:35.000Z,2019,06,02,11,0
돼지런한 하루... ,2018-12-20T17:06:05.000Z,2018,12,20,17,0
오늘혼밥🤭,2019-04-22T04:33:44.000Z,2019,04,22,04,1
,2019-03-22T02:04:30.000Z,2019,03,22,02,1
2018.12.19 수요일 중식,2018-12-19T07:53:22.000Z,2018,12,19,07,0
2019.04.17.나라집으로 출동나라가 밥도 사주고 집에올땐 볶음김치 만두 등 아주 이것저것 싸줌ㅋㅋㅋ탕수육이 또 생각 날 것 같다 😍볶음김치 또한 아주아주 예술이야👍우리 나라 음식 솜씨 안봐도 뻔함 담엔 요미 데리고 놀러 갈게 💕고마웡 나라야 ❗️....,2019-04-19T12:05:12.000Z,2019,04,19,12,0
