본문,시간,년,월,일,시,d
🍴비비고새우왕교자🍴출출할때 쪄먹으면 완전 맛있는 비비고 새우 왕교자를 먹었는데 진짜 최애만두에요! 왠만한 만두전문점 만두보다 맛있는거같아요😍.,2019-01-10T01:49:22.000Z,2019,01,10,01,1
190209,2019-02-09T13:13:20.000Z,2019,02,09,13,0
,2018-12-22T16:43:26.000Z,2018,12,22,16,0
맛있는 ,2019-06-23T07:55:22.000Z,2019,06,23,07,0
,2018-12-21T13:53:30.000Z,2018,12,21,13,0
,2019-06-04T05:12:50.000Z,2019,06,04,05,0
⠀⠀⠀힘들게 보낸 나의하루에짧은 입맞춤을 해주는 존데이왜 슬픈예감은 틀린적이 없나반병밖에 안남았다는 거짓말을 두고두병사러 갔지만...⠀⠀⠀언제 오더라도 너만을 기다리고 싶어다시 첫잔으로 모든걸 되돌리고 싶어이제는 어디로 나는 어디로..⠀⠀⠀가끔은 집에서 혼술도 안주 풍성하게두루치기. 자연산전복. 만둣국 그리고파김치. 검은콩. 깻잎절임 그리고 땡초이정도면 거의 다찌집 각...ㅋㅋㅋ개롱모친에게 감사를...^^⠀⠀⠀,2019-05-23T10:33:45.000Z,2019,05,23,10,0
"훗카이도에서만 파는 맥주 한국까지 싸들고오느라 고생했을텐데 느므 고마워❤️ 나한테 준거니깐 나 두캔, 웅님이 한캔 ㅋㅋㅋㅋ 비비고랑 먹으니 꾸르맛🍺🥟🍺🥟",2019-03-03T11:57:05.000Z,2019,03,03,11,0
요즘엔 짜파게티보다 짜왕을 더 찾게되네요💓짜왕vs짜파게티...,2019-06-23T03:39:20.000Z,2019,06,23,03,1
야식비비고 김치만두와 호떡 요뵤가 굽굽👨🏻‍🍳요고 하다가 영광의 상처를 .... 😞...,2019-05-12T14:44:23.000Z,2019,05,12,14,0
..넘 더워서 저녁으로 ,2019-04-22T11:53:47.000Z,2019,04,22,11,0
보은이가 또...,2019-03-22T13:31:08.000Z,2019,03,22,13,0
맛있다❤️ ,2018-12-19T04:57:46.000Z,2018,12,19,04,1
-좀 끓이는듯 ?  ㅋㅋㅋ라면만 먹음 배가 안차니깐 ,2018-12-27T10:51:10.000Z,2018,12,27,10,0
만두국 끓여먹으려구 집앞 마트가서 비비고 사와씀~비비고가 젤맛시쪄✌,2019-01-27T13:58:46.000Z,2019,01,27,13,0
역시 만두는 비비고 왕교자.,2018-12-15T12:06:59.000Z,2018,12,15,12,0
.울 그이가 좋아하는 만두🌱오랫만에 찜기에 쪘더니만두에서 김이 모락모락.후후 불어서 먹으니까 맛있다💚-,2019-01-17T13:48:02.000Z,2019,01,17,13,0
토요일 야식은 ,2019-05-18T14:21:11.000Z,2019,05,18,14,0
",예진언니가 선물해준 접시 드디어 개시😍만두 접시로 딱 조으다 조으다역시, 센스있는 뇨자ㅋㅋㅋㅡ이쁜 그릇에 담아 먹는 만두는 더 꿀맛이군하하하하하하하하하하하하^^ㅡ",2019-02-27T10:10:07.000Z,2019,02,27,10,0
만두 떨어졌다고 언제 사냐고해서소박하게 준비해봤어.,2019-04-13T08:29:58.000Z,2019,04,13,08,0
떡만두국(feat.김)💕 ,2019-04-16T12:27:58.000Z,2019,04,16,12,0
조촐....,2019-03-01T00:25:17.000Z,2019,03,01,00,1
,2019-02-14T22:36:39.000Z,2019,02,14,22,1
.설국열차의 바퀴벌레 양갱이넘어야 할 큰 산인류의 미래식량 비비고.,2019-05-31T13:59:49.000Z,2019,05,31,13,0
어제 털었던 이마트트레더스👍에어프라이어 온 김에 먹이 쌓아두기🤣,2019-06-08T05:56:06.000Z,2019,06,08,05,0
맛난 저녁드세용~~^^오늘은 분식 모둠으로 😊💕.,2019-04-16T09:02:43.000Z,2019,04,16,09,0
,2019-04-21T05:37:41.000Z,2019,04,21,05,0
,2019-02-23T09:20:30.000Z,2019,02,23,09,0
너무 잘먹으니 걱정마세요~🐷,2019-01-02T14:29:54.000Z,2019,01,02,14,0
비비고 왕만두~~오늘은 아침 헬스하고 돌아와서 비비고 왕만두로 아침식사를~~.,2019-03-01T16:25:08.000Z,2019,03,01,16,0
2019.03.13,2019-03-16T10:07:27.000Z,2019,03,16,10,0
야식 클라쓰.,2019-01-07T13:07:14.000Z,2019,01,07,13,0
배고플땐 만두 굽어먹지.사실 코젤 다크 맥주잔 자랑이야 저 잔에 소맥 말면 세잔이상 못마셔군만두에 발사믹에 고춧가루 섞어 찍어먹음 JMT ,2019-03-23T02:32:08.000Z,2019,03,23,02,1
"☆오늘의 저녁은 인스턴트☆.도윤맘은 오늘 맛있는 저녁을 하고싶었으나...의성다녀온 후 신랑이 갑자기달라스 돈까스가 먹고 싶다기에..(신랑의 추억의 장소-전피드참고).달라스 돈까스는 그냥 냉동 완제품 돈까스예요 ㅋㅋㅋㅋㅋ.오늘은 고칼로리 인스턴트 튀김.😱😤😭😖🙄 찌는 살은 상상🚫..비비고만두,치즈스틱,돈까스 튀기고 비빔낙지젓갈,양배추샐러드,밥 끝..저녁 흡입 후 시원한 얼음동동사이다 한모금...어우...느끼한 속은 어쩔...😟..신랑은 피곤한지 먹고 쓰러지심.도윤맘은 속뒤집어져 계속 물만1리터째 드링킹중...맥주로 입가심이 간절하나 정말내일 아침에 얼굴이 터질것 같아참는 중입니당..오늘도 칼육퇴하고 혼자 쇼파에누워 폰삼매경~.점점 더워지는데 건강 조심하세용.불금,즐주 되세용~~~👋. .",2019-05-03T13:29:28.000Z,2019,05,03,13,0
복 숭 은 못 사 먹 고~- 인 생 뭐 글 네 ㅋ ㅋ ---,2019-06-12T13:08:27.000Z,2019,06,12,13,0
,2019-05-26T06:13:33.000Z,2019,05,26,06,0
📙🍺🥟오늘의 밀도있는 불금.캬~~~😆.,2019-03-15T13:40:50.000Z,2019,03,15,13,0
⠀⠀⠀,2019-06-16T11:37:00.000Z,2019,06,16,11,0
요즘 맨날 먹고싶은 야식 🥟,2019-01-09T16:57:37.000Z,2019,01,09,16,0
라면만큼 간단한 ,2019-05-19T04:53:38.000Z,2019,05,19,04,1
,2018-12-12T14:59:35.000Z,2018,12,12,14,0
영화는 CGV 카페는 투썸 쇼핑은 올리브영 간식은 비비고왕교자...🥟 ,2019-05-06T12:59:15.000Z,2019,05,06,12,0
,2018-12-23T03:43:44.000Z,2018,12,23,03,1
It's zonmat ,2019-06-21T12:35:33.000Z,2019,06,21,12,0
"눈뜨자마자소복소복 떡만두국 한그릇..황태멸치, 건표고넣고 육수 30분 우려내마늘, 팽이버섯,고추넣고 국간장, 소금, 후추 약간 넣어 간하고떡, 만두, 파 투척하고 계란풀어 열무김치와 호로록..😋",2019-06-06T03:44:27.000Z,2019,06,06,03,1
에어프라이기가 튀겨준 만두..🤭👍🏻,2019-02-25T13:26:06.000Z,2019,02,25,13,0
"-로제파스타&꼬돈,군만두📸출출해서 간편하게 한끼 때우기,냉장고에 굴러다니는 로제소스랑,꼬마돈까스,비비고 왕교자로후다닥 만들어서 흡입😃꼬돈이랑 왕교자는 에어프라이어에바삭하게 튀겨내고,파스타에 곁들여서 먹으니 별미네👍👍-",2019-01-21T10:50:13.000Z,2019,01,21,10,0
맨듀♡교자만두 굽굽 명란마요 앤드 쪽파.,2018-12-25T09:50:30.000Z,2018,12,25,09,0
에어프라이기로 비비고 교자만두를 구워봤다 개편하네 ㅋㄷ 다만 미리 냉동만두에 기름을 좀 발라둬야함,2019-03-29T01:02:54.000Z,2019,03,29,01,1
,2019-06-16T06:09:44.000Z,2019,06,16,06,0
,2019-06-18T11:20:25.000Z,2019,06,18,11,0
,2019-01-21T03:21:08.000Z,2019,01,21,03,1
평일 마무리자 주말 시작은 ,2019-04-19T13:16:28.000Z,2019,04,19,13,0
🏡🍚,2019-05-22T01:36:18.000Z,2019,05,22,01,1
.5배 매운것은 아닌거 같아요(엽떡귀신)만두+비빔면+배=♡요렇게 먹어보세요 짠맵단은 사랑입니다 계속 들어감,2019-03-21T11:31:39.000Z,2019,03,21,11,0
만두 세 개는 더 먹을 수 있었지만 꾹..,2019-01-09T08:31:41.000Z,2019,01,09,08,0
연휴 마지막날집에서해먹는 ,2019-05-06T06:53:17.000Z,2019,05,06,06,0
진짜 먹고싶어서 어렵게 구했는데..한개도 안맵구 별로....역시 만두는 비비고,2019-03-11T02:55:15.000Z,2019,03,11,02,1
.요즘 최애 안주 💙최애 유낭이랑 맥주 한잔~,2019-06-18T12:17:45.000Z,2019,06,18,12,0
오랜만에 막걸리비오니까 막걸리ㆍㆍㆍ,2019-02-19T13:02:38.000Z,2019,02,19,13,0
,2019-02-19T11:25:17.000Z,2019,02,19,11,0
점심은 시원하게 묵사발과 만두로🍽️...,2019-06-09T06:54:49.000Z,2019,06,09,06,0
왜우는거얔ㅋㅋㅋㅋㅋ맛점하장 복덩아😘,2019-02-12T04:25:13.000Z,2019,02,12,04,1
,2019-06-21T09:52:44.000Z,2019,06,21,09,0
_주말은 이유없이 밥하기 싫은데만두만 주기는 미안해서과일 폭탄 던져주기🍇🥑🍅🥝🍎🍋..,2019-05-18T03:00:59.000Z,2019,05,18,03,1
후다닥 비빔밥냉장고에있는 반찬털기 ㅋㅋ....,2019-06-24T10:07:07.000Z,2019,06,24,10,0
,2018-12-14T10:48:13.000Z,2018,12,14,10,0
역시만두는 비비고!!!✌--------------------,2019-01-26T12:48:28.000Z,2019,01,26,12,0
,2019-05-07T12:47:42.000Z,2019,05,07,12,0
혜민이가 넘~먹구싶다며간만에 실력발휘~어릴때 마니해줬던게 그리웠던듯배고파 죽는 쫑호씨땜시 일단 시판만두입막음 ㅋㅋ,2019-03-31T11:11:56.000Z,2019,03,31,11,0
20190518 D + 1353오늘은 ,2019-05-18T09:50:25.000Z,2019,05,18,09,0
주말점심은 간단하게 만두. .한판 더 굽는중.,2019-02-23T07:57:56.000Z,2019,02,23,07,0
어제는 냉장고에 야채가 없어 걍 겹살이만 꾸워서~그 기름에 비비고 만두도 굽고 며칠전 고구마 건조 시킨것도 굽고 거기에 조총 뿌리는 완전 맛탕일세~~ ,2019-03-23T00:41:18.000Z,2019,03,23,00,1
와 우리도 이제 인싸부부최강 인싸템 에어프라이어비비고 만두 군만두이제 ,2019-02-12T14:39:41.000Z,2019,02,12,14,0
,2019-02-25T13:16:34.000Z,2019,02,25,13,0
일요일 점심은 ,2019-01-27T05:39:09.000Z,2019,01,27,05,0
,2019-01-23T04:28:56.000Z,2019,01,23,04,1
오늘은 팟타이요리사👨🏻‍🍳 .저렇게 먹고 슈츠 시즌4 끝까지 다 보고 낮잠도 잤다가 산책 하고 와서 이제야 서로 할 일 하는 우리🤲🏻.. ,2019-05-12T09:21:28.000Z,2019,05,12,09,0
,2019-02-23T23:36:52.000Z,2019,02,23,23,1
,2019-01-14T10:14:15.000Z,2019,01,14,10,0
애기공부상이 술상😋결혼전 야식 극혐하던 내가.. 닭발을 볶고 만두를 튀기고 있네 ㅋㅋ,2019-05-29T14:41:27.000Z,2019,05,29,14,0
지난 주말 언젠가저녁 6시가 되기 전에 신랑에게 말했다,2019-02-18T13:38:57.000Z,2019,02,18,13,0
첫 개시!!! ,2019-05-29T11:29:33.000Z,2019,05,29,11,0
ㅎㅣ...ㆍㆍㆍ,2019-06-20T10:42:58.000Z,2019,06,20,10,0
,2019-05-06T14:30:31.000Z,2019,05,06,14,0
,2019-03-31T06:42:46.000Z,2019,03,31,06,0
,2019-01-31T02:11:11.000Z,2019,01,31,02,1
수요일밤 형태야식~ㅋ,2019-04-10T13:09:40.000Z,2019,04,10,13,0
,2019-06-09T11:22:04.000Z,2019,06,09,11,0
,2019-04-18T23:54:57.000Z,2019,04,18,23,1
05.29.2019 💍 d+754.퇴근하는 내내 배가 아파 식은 땀을 뻘뻘집에 와서는 약 먹고 자느라 밥도 못하고.저녁도 못 먹고 늦게 퇴근한 오빠에게만두만 급하게 굽굽 그리고 다시 기절.이 죽일 놈의 ,2019-05-31T22:11:18.000Z,2019,05,31,22,1
저녁은 김밥🍙(feat.만두튀김🥟&떡갈비🥩)김밥은 역시 말자마자 바로 먹어야 꿀맛아입니꺼? 낄낄🥶맛저하세영~~~~~~~✨............,2019-02-17T13:15:11.000Z,2019,02,17,13,0
요즘 매일 야근하는 신랑 기다리다 넘 배고파서 ,2019-03-28T12:46:29.000Z,2019,03,28,12,0
오늘은 비빔국수 냉국수 사진좀 잘찍고싶다...😂,2019-05-29T12:13:59.000Z,2019,05,29,12,0
,2018-12-23T09:50:18.000Z,2018,12,23,09,0
잠이안와서 야식만두🐷먹으면서넷플릭스에서 소공녀 보기🐽🐽 ..<미소에게는 '집'만 없었고 다른 이들은 '집'만 있었다> 라는 누군가의 영화한줄평인생에서 포기할수없는나만의 위스키 담배는 무엇일까 헤아려보는 밤🌠,2019-06-01T18:49:22.000Z,2019,06,01,18,1
육퇴하고 스카이캐슬 몰아보면서 먹는 군만두 진짜 꿀맛이네😂간장엔 청양고추 썰어 넣어야 제맛😋ㆍ기네스 한캔 있는거 따고 싶은데신랑이 연말 모임에 입으라고 주문한 66사이즈 원피스 작아서 터지려고 😭했으니까 속상하니까 그건 참아야겠다ㅠㆍㆍ,2018-12-26T14:21:31.000Z,2018,12,26,14,0
우리 티터니가 나 요즘 말랐다고살찌울라고 보내준 비비고 만두😋오늘 저녁은 만두국 당첨! ㅋㅋ만두는 역시 ,2019-04-16T02:09:07.000Z,2019,04,16,02,1
칭구칭긔가 추천해 준 에델바이스🍺,2019-03-28T12:59:37.000Z,2019,03,28,12,0
,2019-05-26T04:30:34.000Z,2019,05,26,04,1
오랜만에 먹는 만두 맛있어😋,2019-05-07T04:08:26.000Z,2019,05,07,04,1
,2019-04-13T01:16:46.000Z,2019,04,13,01,1
비비고 왕교자 김치만두 조하!🥟,2019-03-12T00:30:08.000Z,2019,03,12,00,1
.,2019-01-11T10:27:32.000Z,2019,01,11,10,0
바-삭--,2019-04-19T21:47:50.000Z,2019,04,19,21,1
"생생야끼우동 먹고 싶어서 오빠한테 슈퍼 다녀오라했는데..집 앞 슈퍼는 안 판다ㅜㅜ우동 사리에 굴소스 넣고 대충 만들었더니 허여멀건한데 맛은 나쁘지않으니 다행ㅎㅎ어제 먹고 남은 내장탕에 다진마늘, 청량고추 추가해서 얼큰하게~노브랜드 칠리새우와 비비고왕교자도 튀겨서 군만두 해서 함께 냠냠!!아침부터 배가 빵빵하구만 😝근데..설거지는 겁나 쌓였다;;오빠야 미안~ 설거지 부탁해요~😘...",2018-12-25T01:55:53.000Z,2018,12,25,01,1
만두 샀어요~~~🤗🤗정보공유로~~문자와 전화까지 하며~~사게된 비비고 만두~~~친절하게~~감사~🤗 당분간 올드보이🤣쪄먹고 튀겨먹고 국해먹고~~~🤣🤣🤣🤣,2019-02-27T10:45:01.000Z,2019,02,27,10,0
간단히 해먹으려던 저녁이 또 술안주까지 고려하다보니 양이 많아졌다..... 냉동김치볶음밥은 굴소스랑 계란넣고 후라이팬에서 볶는동안 전자렌지에는 ,2019-04-22T10:06:14.000Z,2019,04,22,10,0
,2019-04-02T06:26:11.000Z,2019,04,02,06,0
짜파게티 파뤼투놔잇🤘.....,2019-02-24T17:24:51.000Z,2019,02,24,17,0
[ ,2019-05-04T03:29:52.000Z,2019,05,04,03,1
,2019-04-01T13:33:42.000Z,2019,04,01,13,0
,2019-05-11T05:08:43.000Z,2019,05,11,05,0
오늘은 ✨라이트하게✨ 중국식 냉면 + 매콤 참치 쫄면 + 군만듀⚡️라이트하게 맛죠앙🤘내가 좋아하는 중국냉면☺️☺️☺️ ,2019-06-05T15:03:52.000Z,2019,06,05,15,0
🌙,2019-01-08T14:54:11.000Z,2019,01,08,14,0
,2018-12-13T11:16:41.000Z,2018,12,13,11,0
2019.05.30 오늘의 야식♡..,2019-05-30T14:09:36.000Z,2019,05,30,14,0
,2019-02-02T15:14:55.000Z,2019,02,02,15,0
,2019-04-02T08:31:57.000Z,2019,04,02,08,0
,2019-03-22T12:35:17.000Z,2019,03,22,12,0
,2019-03-05T07:28:45.000Z,2019,03,05,07,0
일주일에 하루 먹고싶은거 먹는날😊,2019-03-17T15:07:01.000Z,2019,03,17,15,0
생애 첫 쿠킹 클래스 짱짱👍또 듣고싶어용ㅎㅎㅎ...,2019-06-18T13:13:40.000Z,2019,06,18,13,0
비가 세차게 올 땐 집으로 빤쓰런 하자!,2019-05-27T13:37:27.000Z,2019,05,27,13,0
,2019-01-23T12:56:31.000Z,2019,01,23,12,0
,2019-06-10T12:34:11.000Z,2019,06,10,12,0
성에 안차....🤢,2019-05-02T14:26:46.000Z,2019,05,02,14,0
,2018-12-18T14:23:31.000Z,2018,12,18,14,0
I miss Yum Cha so bad. 😭요즘 즐기는 모듬만두와 동치미. ..,2019-02-16T13:17:40.000Z,2019,02,16,13,0
죙일 집에서 쇼파와~ 넘 좋다아침식사후 ,2019-04-20T10:58:54.000Z,2019,04,20,10,0
,2019-05-09T08:09:36.000Z,2019,05,09,08,0
,2019-05-29T08:19:07.000Z,2019,05,29,08,0
여보랑 생일전야제🎉불막창+껍데기 볶아서 만두랑 냠냠❤,2019-04-12T12:49:40.000Z,2019,04,12,12,0
호기심에 비비고 왕교자 러버지만 비비고 한섬만두 비쥬얼에 혹해한번 쪄봤는데 역시 비쥬얼은 어마 무시 하다.내용물도 꽉 차고 맛있긴 한데근데도 난 여전히 왕교자 러버😍그냥 왕교자로 튀겨먹고 쪄먹고 그게 최고 👍🏻 그나저나 오늘도 야식을 못 벗어나네-히힛! 새해구나 ~에헤라디아🎊🎉🧧🧧🧧,2018-12-31T15:03:09.000Z,2018,12,31,15,0
오랫만에 매콤달달 떡볶입니다만두도 굽고 냉동실에 넣어둔 맥주까지아주 꿀맛~ 🤤,2019-06-14T06:42:00.000Z,2019,06,14,06,0
오늘점심🍽,2019-03-01T04:07:33.000Z,2019,03,01,04,1
,2019-06-22T05:05:55.000Z,2019,06,22,05,0
🥟,2019-01-17T10:10:29.000Z,2019,01,17,10,0
.큰아들의 야식만두만두만두만두!,2019-04-08T13:05:30.000Z,2019,04,08,13,0
".실리콘 찜기 최고다.편의성, 위생, 디자인, 가격....다 내맘에 쏙..",2019-05-16T04:25:50.000Z,2019,05,16,04,1
남편이랑 드라이브하고 야식으로 마무리♡,2019-06-09T16:57:30.000Z,2019,06,09,16,0
따로 밥상남편은 광어회딸은 저녁패쓰~~😔아들과난 군만두구차니즘과 입맛없음이반찬도 사오게 되다니😔😔😔오이소박이 무우말랭이무침두가지 사왔어요포항죽도시장에서김치종류만 만들어파는 곳인데여기 주인부부 자부심 뿜뿜거의 엄마손맛 김치들인데울집딸은 노노🤚🤚(산초가루넣음)오늘 사온 무우말랭인 아들이 먹어보고 달지 않고조미료맛 안난다고맛나다고 하네요만두와함께 먹으니👍👍👍.....,2019-06-13T11:40:09.000Z,2019,06,13,11,0
땡초송송 계란탁 비빔면에 만두🍝🥚🥒🥟 ,2019-05-20T13:47:18.000Z,2019,05,20,13,0
밥이 지겨운 오늘 저녁은 라볶이🥢타이밍 잘못 맞춰서 국물이 너무 없이 쪼그라들었네 😅 다음엔 국물 떡볶이 고고에어프라이어에 돌린 비비고만두는 언제나 옳다 👍,2019-03-05T12:37:33.000Z,2019,03,05,12,0
"또 한살 먹었네😂 30대가 되니 한살한살 나이드는게 무섭다. 떡국들은 드셨습니까?비비고사골곰탕, 유기농한우진한고기곰탕.  비비고왕교자만두로 야매 떡국 뚝딱🐷",2019-01-01T04:26:14.000Z,2019,01,01,04,1
*장소 : 집*메뉴 : ,2019-05-13T14:15:43.000Z,2019,05,13,14,0
요새 소화가 잘안되서 밥대신.... 만듀..😅나름 건강하게 먹자고 만두밑에 파프리카ㅋㅋ너무 많이 먹어서 낑긴 라움이는 얼음 🤣,2019-02-14T12:36:51.000Z,2019,02,14,12,0
,2019-03-19T07:14:46.000Z,2019,03,19,07,0
이 요물같으니라고~에프없을땐 어떻게 살았는지 몰라--,2019-01-11T13:00:06.000Z,2019,01,11,13,0
@Regran_ed from @sosoham_cafe -  ,2018-12-14T07:59:13.000Z,2018,12,14,07,0
내가 만든 안주들❣️저렇게 한가득 만들었는데 그날 다 털렸다고 한다.. ,2019-03-09T01:45:02.000Z,2019,03,09,01,1
,2019-04-24T06:21:03.000Z,2019,04,24,06,0
승우는 떡뻥^^엄마랑아빠는 떡만두국^^,2019-01-02T15:21:33.000Z,2019,01,02,15,0
,2019-02-22T13:41:57.000Z,2019,02,22,13,0
,2019-01-02T16:06:29.000Z,2019,01,02,16,0
,2019-01-25T14:21:31.000Z,2019,01,25,14,0
새해엔 ,2019-01-01T10:40:23.000Z,2019,01,01,10,0
-,2019-02-28T02:15:46.000Z,2019,02,28,02,1
"야식으론 튀김👍 냉동만두의 탑클래스 비비고왕교자, 그리고 새우고로케😌",2019-03-18T14:00:34.000Z,2019,03,18,14,0
오늘 밥하기도 싫고 먹기도 싫어서 신랑 볶음밥 해주고 만두 6개 먹었는데 이제 배고프다☹️,2019-05-23T14:21:01.000Z,2019,05,23,14,0
-주말은 신랑이 요리사👨🏻‍🍳군만두는 신랑이 잘구버🥟🥟🥟오늘은 하루종일 배고플틈없이 먹은날😅이제 비비고왕교자 두봉 다 묵었네;또 쟁여놔야지😘그리고 담주엔 꼭 주먹밥+오돌뼈를 먹어줘야겠다!!,2019-03-31T13:11:54.000Z,2019,03,31,13,0
베트남에서 찾은 반도의 맛.,2019-05-14T06:01:44.000Z,2019,05,14,06,0
.뜨끈뜨끈 군만두 언제나 맛있쪙~~~😊..,2018-12-14T01:34:54.000Z,2018,12,14,01,1
😋큰 구씨는 늦은 귀가작은 구씨는 꿈나라그 사이 김씨는 늦은 저녁?야식?크~ 맛난다🤪,2019-01-08T12:41:49.000Z,2019,01,08,12,0
만두의 진리 🤭👍👍 ,2019-06-01T09:59:03.000Z,2019,06,01,09,0
"밀린 잠 실컷 자고새벽 드센 바람 뚫고 장보고청소, 쓰레기 배출 등 집 좀 돌보고 만찬! am3:20저거 먹고 새콤달콤 간장국수 살짝 말아서 조미김 얹어 먹음(바나나 한송이 사서 베이킹파우더에 담그고꼼꼼히 씻어 둠)",2019-03-31T02:27:57.000Z,2019,03,31,02,1
일정 하나 없는 따분한 휴일이에욜..🥺 아무 의욕 없지만 엄마의 냉동고에 있는 ,2019-05-05T18:36:35.000Z,2019,05,05,18,1
요리책 보고 만들었어요 ୧( “̮ )୨🥟🍙🥢-,2019-03-25T12:46:04.000Z,2019,03,25,12,0
.오늘 점심은분식이 땡겼어🥟💕.,2019-01-13T04:41:32.000Z,2019,01,13,04,1
•오전 근무하고 집에 왔더니 🤭🤭세상에 이 남자 보소......어쩜이래 ㅎㅎㅎㅎ오디냐구 오디쯤왔냐구 자꾸 체크하더니시간맞춰 점심 대령 😍,2019-03-30T04:58:48.000Z,2019,03,30,04,1
⠀⠀⠀⠀⠀⠀오늘 저녁은 물냉면과 비비고왕교자로 간단하게 해결했어요.😁⠀⠀⠀CJ에서 나온 시원한 배 물냉면요거 요거 정말 맛있어요.😋매콤달콤하고 육수 살짝얼려먹으면 정말 꿀맛👍🏻⠀⠀⠀스방님과 맛있게한그릇씩 호로록 먹었어요.⠀⠀⠀⠀⠀⠀,2019-06-16T12:03:42.000Z,2019,06,16,12,0
.셀프이발로 탈탈 털리고엄빠의 아점은 비빔냉면 & 만두..,2019-05-01T03:12:55.000Z,2019,05,01,03,1
만두접시랑 맥주잔 만든거 나왔다 ㅋㅋㅋ그림이 생각보다 연하게 나오긴했지만 그래도튼튼하게 구워진듯 ,2019-05-22T09:34:17.000Z,2019,05,22,09,0
미세먼지는 줄어들고 추위가 찾아왔지만추운건 싫지만 그래도 추운게 낫다며 🙄---추우니깐 떡만두국 😋---,2019-01-16T03:13:56.000Z,2019,01,16,03,1
🎵,2019-04-20T16:11:27.000Z,2019,04,20,16,0
,2019-05-25T05:27:56.000Z,2019,05,25,05,0
아침밥,2019-04-03T04:21:55.000Z,2019,04,03,04,1
✅水요일.점심 도시락~ 🍱🍚🍴..,2019-03-26T22:58:09.000Z,2019,03,26,22,1
,2019-02-06T08:37:11.000Z,2019,02,06,08,0
,2019-05-30T11:51:35.000Z,2019,05,30,11,0
🥟🌶주말 세일하길래 ,2019-02-11T11:03:56.000Z,2019,02,11,11,0
20190129.마트 다녀옴.--,2019-01-29T14:15:35.000Z,2019,01,29,14,0
뽁올뽁올 떡만두국,2019-01-10T03:51:07.000Z,2019,01,10,03,1
,2018-12-29T15:12:44.000Z,2018,12,29,15,0
내저녁🥟🥟🥟밥맛은 없고만두맛만있네. .ㅋ신랑은 저녁안먹는다 하고. .나혼밥. .씻은김치랑 먹는만두맛은. .넘 맛있당~~오늘도 교자스타일만두~,2018-12-20T10:44:34.000Z,2018,12,20,10,0
나트랑에 사온 달랏와인에 왕교자로오빠랑 월요일 마무리😁오랫만에 혼술아님ㅋㅋㅋㅋㅋ아무래도 우리는 하반기여행도 베트남으로가야할것같은...느낌이.......알라뷰 베트남❤ ...,2019-05-20T14:14:18.000Z,2019,05,20,14,0
둘다 출근이라늦은저녁배고퍄서 간단하게 먹자했는데..조절실패👏👍😭,2019-05-19T14:35:58.000Z,2019,05,19,14,0
비빔면보다진짜쫄면이 더 내스탈💓맛보기로 한봉지만 사왔는데쟁여놔야겠다앙😋-,2019-06-13T11:35:50.000Z,2019,06,13,11,0
190423 화요일 ,2019-05-09T14:54:04.000Z,2019,05,09,14,0
.,2019-05-25T05:16:45.000Z,2019,05,25,05,0
,2019-03-10T01:28:59.000Z,2019,03,10,01,1
ㅡ통만두집............,2019-01-13T04:50:38.000Z,2019,01,13,04,1
다이어트 포기할 만두 하지,2018-12-24T12:47:30.000Z,2018,12,24,12,0
,2019-02-28T14:50:59.000Z,2019,02,28,14,0
,2019-01-21T12:04:44.000Z,2019,01,21,12,0
